Started At,Duration,Preset,Activity
1/21/2018 21:23,0:16:30,,Guided Meditation
1/20/2018 11:36,0:35:53,,Guided Meditation
1/18/2018 21:02,0:10:00,,Meditation
1/16/2018 19:20,1:15:00,,Meditation
1/15/2018 21:35,0:05:00,,Meditation
1/14/2018 21:29,0:10:00,,Meditation
1/11/2018 19:40,0:40:00,,Meditation
1/8/2018 9:55,0:20:00,,Meditation
1/7/2018 15:35,0:38:44,,Guided Meditation
1/6/2018 16:56,0:26:26,,Guided Meditation
1/3/2018 21:17,0:10:00,,Meditation
1/1/2018 22:34,0:17:50,,Guided Meditation
1/1/2018 15:01,0:38:55,,Guided Meditation
12/30/2017 11:32,0:39:28,,Guided Meditation
12/29/2017 15:27,0:20:00,,Meditation
12/28/2017 16:22,0:14:25,,Meditation
12/27/2017 22:03,0:20:00,,Meditation
12/26/2017 21:06,0:20:00,,Meditation
12/26/2017 0:11,0:22:21,,Guided Meditation
12/24/2017 6:52,0:17:50,,Guided Meditation
12/22/2017 12:24,0:20:00,,Meditation
12/21/2017 12:32,0:15:00,,Meditation
12/19/2017 21:06,0:10:00,,Meditation
12/18/2017 20:49,0:15:00,,Meditation
12/18/2017 11:20,0:10:00,,Meditation
12/15/2017 14:59,0:15:00,,Meditation
12/14/2017 21:17,0:10:53,,Meditation
12/14/2017 6:21,0:20:00,,Meditation
12/13/2017 21:32,0:00:19,,Guided Meditation
12/13/2017 21:16,0:15:00,,Meditation
12/12/2017 15:50,0:15:00,,Meditation
12/11/2017 13:26,0:09:10,,Meditation
12/10/2017 23:15,0:22:21,,Guided Meditation
12/10/2017 16:37,0:31:32,,Guided Meditation
12/9/2017 9:35,0:25:00,,Meditation
12/8/2017 23:49,1:01:05,,Guided Meditation
12/4/2017 12:12,0:25:00,,Meditation
12/3/2017 10:52,0:38:54,,Guided Meditation
12/2/2017 15:15,0:18:48,,Guided Meditation
11/29/2017 13:21,0:31:33,,Guided Meditation
11/28/2017 20:28,0:15:00,,Meditation
11/27/2017 12:23,0:15:00,,Meditation
11/26/2017 7:58,0:30:00,,Meditation
11/25/2017 10:57,0:30:00,,Meditation
11/24/2017 23:26,0:22:21,,Guided Meditation
11/24/2017 23:24,0:01:31,,Guided Meditation
11/23/2017 7:41,0:25:00,,Meditation
11/21/2017 11:05,0:15:00,,Meditation
11/20/2017 15:20,0:20:00,,Meditation
11/19/2017 10:06,0:26:25,,Meditation
11/18/2017 10:41,0:09:44,,Meditation
11/16/2017 14:33,0:15:00,,Meditation
11/15/2017 16:03,0:20:00,,Meditation
11/14/2017 15:20,0:20:00,,Meditation
11/13/2017 14:22,0:20:00,,Meditation
11/12/2017 20:11,0:15:00,,Meditation
11/12/2017 8:10,0:20:00,,Meditation
11/11/2017 11:26,0:07:01,,Meditation
11/10/2017 12:51,0:20:00,,Meditation
11/9/2017 19:52,0:20:00,,Meditation
11/9/2017 11:22,0:20:00,,Meditation
11/8/2017 16:24,0:15:00,,Meditation
11/8/2017 11:43,0:15:00,,Meditation
11/7/2017 15:48,0:10:00,,Meditation
11/5/2017 20:26,0:15:00,,Meditation
11/4/2017 20:25,1:00:00,,Meditation
11/3/2017 9:14,0:10:00,,Meditation
11/2/2017 20:32,0:27:15,,Guided Meditation
11/2/2017 11:50,0:05:00,,Meditation
11/1/2017 11:48,0:10:00,,Meditation
10/31/2017 3:23,0:20:08,,Guided Meditation
10/30/2017 13:38,0:10:00,,Meditation
10/29/2017 11:13,0:26:09,,Guided Meditation
10/28/2017 14:48,0:05:15,,Meditation
10/27/2017 15:05,0:10:00,,Meditation
10/26/2017 4:27,0:22:03,,Guided Meditation
10/25/2017 12:23,0:15:00,,Meditation
10/25/2017 8:14,0:15:00,,Meditation
10/25/2017 8:02,0:05:51,,Meditation
10/24/2017 11:28,0:15:00,,Meditation
10/24/2017 8:10,0:10:00,,Meditation
10/23/2017 9:05,0:13:31,,Guided Meditation
10/23/2017 8:54,0:10:00,,Meditation
10/23/2017 8:37,0:09:02,,Meditation
10/22/2017 20:35,0:45:00,,Meditation
10/21/2017 14:00,1:00:00,,Meditation
10/20/2017 12:21,0:15:00,,Meditation
10/20/2017 3:27,0:22:21,,Guided Meditation
10/19/2017 2:56,0:22:21,,Guided Meditation
10/17/2017 15:28,0:10:00,,Meditation
10/17/2017 2:28,0:22:21,,Guided Meditation
10/16/2017 15:57,0:10:00,,Meditation
10/15/2017 15:39,0:25:00,,Meditation
10/14/2017 7:15,0:20:00,,Meditation
10/10/2017 11:52,0:15:00,,Meditation
10/9/2017 15:32,0:10:00,,Meditation
10/8/2017 8:20,0:30:00,,Meditation
10/7/2017 10:35,0:20:00,,Meditation
10/6/2017 20:40,0:10:00,,Meditation
10/6/2017 11:19,0:05:00,,Meditation
9/29/2017 12:49,0:10:00,,Yoga
9/27/2017 13:37,0:10:00,,Meditation
9/25/2017 12:19,0:05:00,,Meditation
9/24/2017 15:00,0:38:54,,Guided Meditation
9/23/2017 10:46,0:20:00,,Meditation
9/22/2017 6:47,0:15:00,,Meditation
9/19/2017 12:43,0:10:21,,Meditation
9/18/2017 11:28,0:24:52,,Meditation
9/17/2017 17:22,0:20:00,,Meditation
9/16/2017 15:05,1:00:00,,Meditation
9/15/2017 10:50,0:20:00,,Meditation
9/14/2017 11:27,0:05:00,,Meditation
9/13/2017 12:43,0:20:00,,Meditation
9/12/2017 16:01,0:05:00,,Meditation
9/12/2017 14:30,0:20:00,,Meditation
9/10/2017 9:26,0:25:00,,Meditation
9/9/2017 17:19,0:20:42,,Guided Meditation
9/8/2017 10:46,0:32:38,,Guided Meditation
9/7/2017 11:20,0:45:00,,Meditation
9/6/2017 10:58,0:05:00,,Meditation
9/5/2017 21:13,0:05:06,,Guided Meditation
9/4/2017 17:07,0:27:15,,Guided Meditation
9/3/2017 17:07,0:20:23,,Guided Meditation
9/2/2017 15:47,0:20:00,,Meditation
8/31/2017 6:45,0:20:00,,Meditation
8/30/2017 15:34,0:30:00,,Meditation
8/27/2017 14:46,0:30:00,,Meditation
8/26/2017 15:58,0:25:00,,Meditation
8/25/2017 11:03,0:05:00,,Meditation
